ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,item_UPA,item_IPA,form_set,etym_notes,glossing_notes
501-102-4,,501,102,"stav, stave̮n",stave̮n,s t ɑ v ɤ n,,SyrjWsch,,,,,"stav, stave̮n",stɑvɤn,11,,Latter form used with animate referents
907-102-1,,907,102,muntə,muntə,m u n t ə,,SolkWb,,,,,muntə,muntə,12,,
504-102-1,,504,102,vańmi̮z,vańmi̮z,v ɑ ɲ m ɯ z,,WotjWsch,,,,,vańmi̮z,vɑɲmɯz,13,,
106-102-2,,106,102,viisut,viisut,,,InsSSk,,,,,,,14,,
101-102-1,,101,102,gaajhke,gaajhke,,,NSsNdb,,,,,,,1,,
102-102-1,,102,102,gáihka,gáihka,,,WbWlap,,,,,,,1,,
104-102-1,,104,102,gajk,gajk,,,EZ,,,,,,,1,,
902-103-1,,902,103,[No equivalent],,,No freestanding word in general use,JurSWb,,,,,,,0,[No equivalent],
0-103-1,,0,103,[Not reconstructable],,,,UEW;Sam88,,,,,,,?,[Not reconstructable],
901-103-1,,901,103,[Form not found],,,,SlNgaRus,,,,,,,?,[Form not found],
101-103-1,,101,103,jïh,jïh,,,NSsNdb,,,,,,,1,Poss. direct loan from Scand. instead of through Finnic,
102-103-1,,102,103,jah,jah,,,WbWlap,,,,,,,1,Poss. direct loan from Scand. instead of through Finnic,
204-103-1,,204,103,i,i,,,KKSV,,,,,,,2,,
208-103-1,,208,103,i,i,i,,InkmSk,,,,,i,i,2,,
209-103-1,,209,103,i,i,i,,VKJMS,,,,,i,i,2,,
204-103-2,,204,103,ta ~ tai,ta ~ tai,,,KKSV,,,,,,,4,"Influence of Russian ""da"" on native ""tai""?",
207-103-1,,207,103,da,da,,,VVS,,,,,,,4,,
208-103-2,,208,103,ta,ta,t ɑ,,InkmSk,,,,,ta,tɑ,4,"Influence of Russian ""da"" on native ""tai""?",
107-103-1,,107,103,di ~ da etc.,di ~ da etc.,,,SKosSk,,,,,,,4,,
401-103-1,,401,103,δa,δa,ð ɑ,,SMSk;TscherWb,,,,,δa,ðɑ,5,"Loan from Chuvash, influenced by Rus ""da""",
401-103-2,,401,103,δen,δen,ð e n,Coordination of nouns,SMSk;TscherWb,,,,,δen,ðen,6,,
